TagName,Count
"javascript","2265517"
"java","1796560"
"python","1788718"
"c#","1495832"
"php","1413394"
"android","1346946"
"html","1088688"
"jquery","1016910"
"c++","736134"
"css","730672"
"ios","660328"
"mysql","631070"
"sql","603140"
"r","417391"
"node.js","400322"
"arrays","371601"
"asp.net","364399"
"c","364034"
"reactjs","328668"
"ruby-on-rails","327974"
"json","324934"
".net","310793"
"sql-server","308511"
"swift","301575"
"python-3.x","293655"
"objective-c","291878"
"django","274284"
"angularjs","262230"
"angular","260928"
"excel","250945"
"regex","243564"
"iphone","221187"
"ruby","220798"
"ajax","217031"
"pandas","214209"
"linux","207993"
"xml","203943"
"asp.net-mvc","195503"
"vba","191406"
"spring","188290"
"database","180662"
"laravel","180243"
"wordpress","179232"
"string","167788"
"wpf","162669"
"typescript","158432"
"mongodb","152360"
"windows","152004"
"xcode","151420"
"postgresql","142292"
"bash","137821"
"oracle","136476"
"git","136098"
"vb.net","135012"
"multithreading","131089"
"eclipse","122634"
"amazon-web-services","122617"
"list","120419"
"firebase","116833"
"spring-boot","109890"
"algorithm","109542"
"macos","108736"
"azure","108399"
"forms","107682"
"image","106712"
"scala","105511"
"react-native","104741"
"visual-studio","104433"
"docker","102454"
"dataframe","102205"
"twitter-bootstrap","101263"
"flutter","99639"
"function","96797"
"powershell","95525"
"python-2.7","94798"
"performance","94424"
"api","93638"
"numpy","93576"
"winforms","93352"
"matlab","91419"
"apache","89729"
"selenium","89588"
"sqlite","89183"
"hibernate","88448"
"entity-framework","87297"
"facebook","85368"
"shell","84081"
"rest","84045"
"loops","83701"
"vue.js","83255"
"linq","81986"
"maven","80460"
"android-studio","80439"
"qt","80095"
"express","79426"
"csv","79189"
"swing","78742"
"unit-testing","76580"
"file","75673"
"class","72335"
"tensorflow","71723"
".htaccess","70475"
"apache-spark","70276"
"symfony","69615"
"date","69059"
"sorting","69033"
"codeigniter","68490"
"tsql","68149"
"google-chrome","67798"
"perl","65872"
"dictionary","65200"
"google-maps","64317"
"opencv","64165"
"uitableview","63476"
"validation","63090"
"sockets","62892"
"asp.net-core","62876"
"http","62767"
"datetime","62270"
"kotlin","62089"
"cordova","61221"
"for-loop","60866"
"matplotlib","60432"
"web-services","60124"
"unity3d","59444"
"xaml","58716"
"object","57933"
"android-layout","57757"
"oop","56842"
"email","56612"
"dart","56496"
"spring-mvc","56149"
"ruby-on-rails-3","56038"
"go","55947"
"ubuntu","54673"
"c++11","54283"
